"2019-02-18 20:46:52" Welcome to Cetus3Dbasic
"2019-02-18 20:46:52" setup: WiFi 'FFamPennings' .... ESP8266 at 192.168.178.78
"2019-02-18 20:46:53" setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
"2019-02-18 20:46:53" stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
"2019-02-18 20:55:31" stat: 00047 00522s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:55:41" stat: 00048 00533s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:55:52" stat: 00049 00543s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:56:02" stat: 00050 00553s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:56:12" stat: 00051 00563s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:56:23" stat: 00052 00574s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:56:33" stat: 00053 00584s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:56:43" stat: 00054 00594s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:56:54" stat: 00055 00605s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:57:04" stat: 00056 00615s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:57:14" stat: 00057 00625s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:57:24" stat: 00058 00636s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:57:35" stat: 00059 00646s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:57:45" stat: 00060 00656s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:57:55" stat: 00061 00666s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:58:06" stat: 00062 00677s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:58:16" stat: 00063 00687s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:58:26" stat: 00064 00697s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:58:37" stat: 00065 00708s : 0202/printing        L0004   0.0mm   8%  2:34:52   1.00x   0.34x 
"2019-02-18 20:58:47" stat: 00066 00718s : 0202/printing        L0004   0.0mm   8%  2:34:52   0.98x   0.34x 
"2019-02-18 20:58:57" stat: 00067 00728s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 20:59:08" stat: 00068 00739s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 20:59:18" stat: 00069 00749s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 20:59:28" stat: 00070 00759s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 20:59:38" stat: 00071 00770s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 20:59:49" stat: 00072 00780s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 20:59:59" stat: 00073 00790s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 21:00:09" stat: 00074 00800s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:00:20" stat: 00075 00811s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:00:30" stat: 00076 00821s : 0202/printing        L0005   0.0mm  13%  2:27:10   1.00x   0.34x 
"2019-02-18 21:00:40" stat: 00077 00831s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
"2019-02-18 21:00:51" stat: 00078 00842s : 0202/printing        L0005   0.0mm  13%  2:27:10   0.98x   0.34x 
